,author,statement,source,date,target,BinaryNumTarget
17,D.L. Davis,End of eviction moratorium means “millions of Americans” could lose their housing in the middle of a pandemic.,Mark Pocan,"September 3, 2021",true,0
18,Miriam Valverde,"“The average hospital stay for a case of COVID-19 costs about $17,064. The vaccine is free.”",Pramila Jayapal,"September 2, 2021",mostly-true,0
19,Jon Greenberg,"“If these (telecom and internet) companies comply with the Democrat order to turn over private information, they are in violation of federal law and subject to losing their ability to operate in the United States.”",Kevin McCarthy,"September 2, 2021",false,1
20,Gabrielle Settles,"Following Hurricane Ida, animals from Turtle Back Zoo in New Jersey are “fleeing the premises.”",Facebook posts,"September 2, 2021",pants-fire,1
21,Duncan Slade,"“Near Morgantown, WV, a Moderna shipment truck crashed, hazmat dispatched, airspace shut down and now apparently Emergency Response is claiming the Department of Defense took it over.”",Tweets,"September 2, 2021",half-true,0
22,Tom Kertscher,“New Israeli study finds fully vaccinated people are at ‘greater risk of hospitalization’ and 13 times more likely to catch COVID-19 than those who have recovered and have natural immunity.”,The Gateway Pundit,"September 1, 2021",half-true,0
23,Tom Kertscher,U.S. veteran group rescued Afghan allies “behind Biden’s back.”,The Gateway Pundit,"September 1, 2021",false,1
24,Tom Kertscher,"The U.S. left the Taliban an “arsenal” in Afghanistan, including 358,530 assault rifles and 22,174 Humvees.",Viral image,"September 1, 2021",barely-true,1
25,Kiannah Sepeda-Miller,"Says the 1995 Chicago heat wave was “the largest single-day, non-war fatality in the United States” prior to 9/11, and “we are now expecting temperatures that hot in Chicago every summer.”",Sean Casten,"September 1, 2021",barely-true,1
26,Warren Fiske,Glenn Youngkin “called COVID relief ‘unnecessary.’”,Terry McAuliffe,"September 1, 2021",barely-true,1
27,Bill McCarthy,A video shows the “Taliban hanging someone from a helicopter.”,Tweets,"August 31, 2021",false,1
28,Tom Kertscher,The COVID-19 vaccines “were released to the public after only two months of testing in healthy humans.”,Facebook posts,"August 31, 2021",barely-true,1
29,Miriam Valverde,"The Trump administration worked to free 5,000 Taliban prisoners.",Mitt Romney,"August 31, 2021",true,0
30,Ciara O'Rourke,Photos show the U.S. service members killed in a 2021 suicide bombing in Kabul.,Viral image,"August 31, 2021",false,1
31,Bill McCarthy,The mRNA COVID-19 vaccines are “really gene therapy.”,Joe Rogan,"August 31, 2021",false,1
32,D.L. Davis,"In Afghanistan, “over 100 billion dollars spent on military contracts.”",Mandela Barnes,"August 31, 2021",true,0
33,Samantha Putterman,“Friendly reminder: Cigarettes are FDA approved.”,Facebook posts,"August 30, 2021",false,1
34,Madison Czopek,"Walmart is “kidnapping kids” and selling them, and this can be proven by searching “girls shoes $5,000” on Walmart.com.",Facebook posts,"August 30, 2021",pants-fire,1
35,Gabrielle Settles,“The Biden White House had no representative” who came to honor the return of the 13 service members’ remains at Dover Air Force Base.,Instagram posts,"August 30, 2021",pants-fire,1
36,Tom Kertscher,"The contagiousness of the coronavirus delta variant is “valued between 5 and 9½,” and if the value is closer to 10, “within six weeks, the whole country will test positive for delta, regardless of vaccination.”",TikTok posts,"August 30, 2021",barely-true,1
37,Ciara O'Rourke,Says President Joe Biden fell asleep during a meeting with Israel’s prime minister.,Viral image,"August 30, 2021",false,1
38,Gabrielle Settles,Thalidomide was FDA-approved for pregnant women in the 1960s.,Facebook posts,"August 30, 2021",false,1
39,Chris Nichols,"“California voters to be able to download ballots at home for recall election, sparking security concerns.”",Larry Elder,"August 27, 2021",barely-true,1
40,Bill McCarthy,"""Norfolk naval base has been taken by NATO.""",TikTok posts,"August 27, 2021",false,1
41,Andy Nguyen,"White House, CDC, WHO and vaccine makers don’t require the COVID-19 vaccine for their workers.",Facebook posts,"August 27, 2021",barely-true,1
42,Ciara O'Rourke,Video shows “pupils in Nigeria running away from being vaccinated.”,Facebook posts,"August 27, 2021",false,1
43,Tom Kertscher,Says a U.S. Air Force-insignia plane evacuating people from Afghanistan is fake.,Facebook posts,"August 27, 2021",false,1
44,Emily Tian,“It would cost $20 billion to end homelessness in the U.S.” and “halting global warming would cost $300 billion.”,Facebook posts,"August 27, 2021",barely-true,1
45,Ciara O'Rourke,“No one has died of cancer or heart disease since the COVID-19 thing started.”,Viral image,"August 27, 2021",pants-fire,1
46,Jason Asenso,"“FDA approval means nothing when you realize the FDA also approves pesticides in our food!""",Facebook posts,"August 27, 2021",barely-true,1
47,Brandon Mulder,"""Democrats like to blame Republicans on (low vaccination rates). Well, the biggest group in most states are African Americans who have not been vaccinated. The last time I checked, over 90% of them vote for Democrats.""",Dan Patrick,"August 26, 2021",false,1
48,Miriam Valverde,There has been “no question of our credibility from our allies around the world” regarding how the U.S. is withdrawing from Afghanistan.,Joe Biden,"August 26, 2021",half-true,0
49,Emily Tian,“Washington public school forces unvaccinated teens to wear ankle monitors” as a condition of playing team sports.,Facebook posts,"August 25, 2021",half-true,0
50,Samantha Putterman,75 doctors in South Florida walked out in protest as their hospital was flooded with unvaccinated COVID-19 patients,Instagram posts,"August 25, 2021",false,1
51,Gabrielle Settles,"“It is the vaccinated, NOT the unvaccinated, spreading mutant variants.”",Facebook posts,"August 25, 2021",false,1
52,Warren Fiske,On ending Virginia's income tax.,Glenn Youngkin,"August 25, 2021",half-flip,1
53,Tom Kertscher,“80% of women who have been jabbed have lost their children in the first trimester.”,Facebook posts,"August 24, 2021",false,1
54,Ciara O'Rourke,“Pfizer CEO has not yet had vaccine.”,Instagram posts,"August 24, 2021",false,1
55,Ciara O'Rourke,"Says Donald Trump said, “Do not be distracted by all this going on in Afghanistan. Always keep one eye on Washington D.C. A magician always distracts his audience.”",Viral image,"August 24, 2021",false,1
56,Louis Jacobson,Former President Donald Trump “was blocked from getting troops out of (Afghanistan) by Liz Cheney and others.”,Warren Davidson,"August 24, 2021",barely-true,1
57,Bill McCarthy,The bomb threat near the U.S. Capitol on Aug. 19 was a false flag.,Tweets,"August 24, 2021",pants-fire,1
58,Amy Sherman,Al-Qaida is “gone” from Afghanistan.,Joe Biden,"August 23, 2021",false,1
59,Jason Asenso,"""Twitter has suspended the account of Afghanistan’s elected President… and have allowed the Taliban to keep their accounts.""",Instagram posts,"August 23, 2021",half-true,0
60,Tom Kertscher,Says “31 U.S. troops” were “killed in Afghanistan yesterday.”,Facebook posts,"August 23, 2021",barely-true,1
61,Louis Jacobson,"The U.S. is “now importing 800,000 barrels of oil from Russia,” but that could have been prevented if the Keystone XL pipeline hadn’t been cancelled.",Facebook posts,"August 23, 2021",half-true,0
62,Madeline Heim,“A Milwaukee election employee even acknowledged dropping off just the margin of ballots needed for a Biden win at 3 a.m.”,Donald Trump,"August 23, 2021",pants-fire,1
63,Gabrielle Settles,Says a report of unvaccinated Florida teachers dying from COVID-19 isn’t real.,Instagram posts,"August 20, 2021",false,1
64,Paul Specht,"“North Carolina during this pandemic had among the lowest COVID-related deaths, as well as job losses per capita.”",Roy Cooper,"August 20, 2021",mostly-true,0
65,Miriam Valverde,"COVID-19 vaccinations are “a violation of the Nuremberg code.""",Facebook posts,"August 20, 2021",false,1
66,Gabrielle Settles,“The CDC actually put together a document to discuss putting high risk people into camps to ‘shield’ low risk people from them.”,Candace Owens,"August 20, 2021",false,1
67,Amy Sherman,A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,Viral image,"August 20, 2021",true,0
68,Tom Kertscher,“Joe Biden is on a two-week vacation. Kamala Harris has been nonexistent since Inauguration Day. Jen Psaki is taking a break from her duties as press secretary for one week.”,Instagram posts,"August 20, 2021",barely-true,1
69,Tom Kertscher,The Biden administration “gifted the Taliban with $80 billion-plus” in military-grade weapons but now “wants your 9mm pistols.”,Viral image,"August 20, 2021",false,1
70,Tom Kertscher,Joe Biden and Kamala Harris “continuously questioned the vaccine during the campaign” but now “they support vaccine cards and forced vaccinations.”,Instagram posts,"August 20, 2021",barely-true,1
71,Amy Sherman,On whether withdrawal from Afghanistan would be chaotic,Joe Biden,"August 20, 2021",full-flop,1
72,D.L. Davis,"""We’ve got 115,000 miles of roads in this state and 90% is owned by the locals.”",Craig Thompson,"August 20, 2021",true,0
73,Ciara O'Rourke,"Says Al Jazeera tweeted, “#BreakingNews Taliban started abducting minor girls from their home. The parents who are refusing to give their daughters to Taliban are being killed by Taliban fighters.”",Viral image,"August 19, 2021",false,1
74,Jon Greenberg,"“We had already issued several thousand Special Immigrant Visas .. to the (Afghan) translators, when I came into office.”",Joe Biden,"August 19, 2021",half-true,0
75,Jason Asenso,229 Christian missionaries were sentenced to death in Afghanistan.,Facebook posts,"August 19, 2021",false,1
76,Tom Kertscher,“The second-largest investor in Regeneron” is a firm whose CEO is Ron DeSantis’ “number one political donor.”,Democratic Underground,"August 19, 2021",barely-true,1
77,Andy Nguyen,"""100 Sailors at sea. All vaxxed. All with COVID (seven) weeks following deployment.""",Facebook posts,"August 19, 2021",mostly-true,0
78,Bill McCarthy,Joe Biden intentionally “let it fall apart” in Afghanistan because he “wants a couple hundred thousand more Ilhan Omars to come into America to change the body politic permanently.”,Charlie Kirk,"August 19, 2021",pants-fire,1
79,Ciara O'Rourke,Video shows Afghan riding on plane engine.,Viral image,"August 19, 2021",false,1
80,Ciara O'Rourke,The chaos at the Kabul airport as the Taliban took over Afghanistan’s capital was a “false flag event to provoke WW3.”,Instagram posts,"August 19, 2021",pants-fire,1
81,Tom Kertscher,“Fauci doesn’t trust new vaccine research as delta variant surges.”,Fox News Channel,"August 18, 2021",false,1
82,Jason Asenso,Image shows Harvard email terminating a student over social media accounts.,Viral image,"August 18, 2021",pants-fire,1
83,Ciara O'Rourke,“CA inmate pregnant after being forced to share prison with transgender ‘woman.’”,Viral image,"August 18, 2021",false,1
84,Ciara O'Rourke,Says Malala Yousafzai “is silent about the cries of women and children suffering at the hands of the Taliban.”,Viral image,"August 18, 2021",false,1
85,Ciara O'Rourke,“Biden’s teleprompter told him to ‘LEAVE NOW’ when his speech was concluded.”,Viral image,"August 18, 2021",false,1
86,Clara Hendrickson,“I don’t need” the COVID-19 vaccine. “I have natural immunity” that lasts “forever.”,Mike Shirkey,"August 18, 2021",false,1
87,Ciara O'Rourke,Says Military Times reported that a study found “60% of sailors who had been fully vaccinated with 2-shot series vaccines are now at risk for heart disease.”,Viral image,"August 18, 2021",false,1
88,Louis Jacobson,"The man next to Mike Pompeo in a November 2020 photo “is the guy the Trump administration helped get out of jail in 2018 and who is now the 'president' of Afghanistan.""",Instagram posts,"August 18, 2021",mostly-true,0
89,Warren Fiske,"“We watched Terry McAuliffe, when he was governor, lower the (accreditation) standards in our schools...”",Glenn Youngkin,"August 18, 2021",mostly-true,0
90,Jason Asenso,"Solar panel farms cause “hundreds and thousands” of birds to “hit that magnified sun, explode in flame ... (This) is going to bring the nation down.”",Louie Gohmert,"August 17, 2021",half-true,0
91,Tom Kertscher,"Donald Trump in 2020 ""said he trusted the Taliban and then set in motion an even earlier exit"" from Afghanistan.",Occupy Democrats,"August 17, 2021",half-true,0
92,Tom Kertscher,“Mayo Clinic study shows Pfizer vaccine dropped to 42% effective.”,Instagram posts,"August 17, 2021",half-true,0
93,Ciara O'Rourke,Says CNN said “Taliban fighters responsibly wearing masks.”,Viral image,"August 17, 2021",false,1
94,Ciara O'Rourke,Says CNN and other news organizations tweeted that a journalist was executed in Kabul by Taliban fighters.,Viral image,"August 17, 2021",false,1
95,Andy Nguyen,A six-month study from Pfizer shows that its vaccine “reduces severe COVID symptoms/hospitalizations by .1%.”,Instagram posts,"August 17, 2021",barely-true,1
96,Ciara O'Rourke,Says “Nancy Pelosi has been executed.”,Viral image,"August 16, 2021",pants-fire,1
97,Ciara O'Rourke,"Photo shows CNN chyron about Afghanistan that says, “Violent but mostly peaceful transfer of power.”",Viral image,"August 16, 2021",false,1
98,Warren Fiske,The General Assembly gave Gov. Ralph Northam “a $1 billion blank check.”,David Suetterlein,"August 16, 2021",barely-true,1
99,Laura Schulte,"Says of UW-Madison, ""It cost the university $50k (your tax dollars) to remove"" a rock considered by some a symbol of racism.",Rachel Campos-Duffy,"August 14, 2021",pants-fire,1
100,Ciara O'Rourke,“Rand Paul’s medical license was just revoked!”,Facebook posts,"August 13, 2021",pants-fire,1
101,Cassidey Kavathas,"Every time outgoing New York Gov. Andrew Cuomo “says the firearm industry ‘is immune from lawsuits,’ it's false.”",Elise Stefanik,"August 13, 2021",mostly-true,0
102,Paul Specht,"The United States' southern border is ""basically open"" and is ""a super spreader event.”",Gary Sides,"August 13, 2021",false,1
103,Gabrielle Settles,There is a “0.05% chance of dying from COVID.”,TikTok posts,"August 13, 2021",false,1
104,Brandon Mulder,The Biden administration is “not even testing these people” being released by Border Patrol into the U.S.,Ken Paxton,"August 13, 2021",barely-true,1
105,Madeline Heim,"“324,000 pregnant people experience domestic violence during their pregnancy.”",Gwen Moore,"August 13, 2021",true,0
106,Jason Asenso,Says actor Mike Mitchell died because of a COVID-19 booster shot.,Instagram posts,"August 12, 2021",false,1
107,Tom Kertscher,"The federal infrastructure bill includes “a pilot program for a national motor vehicle per-mile user fee, which is basically a long-term plan to make it too expensive to drive a car.""",Viral image,"August 12, 2021",barely-true,1
108,Gabrielle Settles,Flights across America are backed up because airline crews are “refusing the mandated jab” and walking off boarded flights.,Facebook posts,"August 12, 2021",false,1
109,Ciara O'Rourke,"Says Gen. David H. Berger said, “No mandatory vaccinations for my Marines.”",Facebook posts,"August 12, 2021",pants-fire,1
110,Amy Sherman,"The White House plans to call for lockdowns due to the delta variant and is “aiming for late 2nd week of August, per WH official.”",Jack Posobiec,"August 12, 2021",false,1
111,Madison Czopek,“It’s not unusual for hospitals to sit at max or near max capacity on any given day.”,Erin Marie Olszewski,"August 11, 2021",half-true,0
112,Ciara O'Rourke,"Photo shows Ron DeSantis holding a shirt that says, “Your mask is as useless as Joe Biden.”",Viral image,"August 11, 2021",false,1
113,Ciara O'Rourke,Says Kathy Hochul is Nancy Pelosi’s stepsister.,Facebook posts,"August 11, 2021",false,1
114,Tom Kertscher,Says the surge in COVID-19 cases is caused by “antibody mediated viral enhancement” from the COVID-19 vaccines.,Dan Stock,"August 11, 2021",pants-fire,1
115,Victoria Knight,The Centers for Disease Control and Prevention’s recent guidance on students and masking “lacks a well-grounded scientific justification.”,Ron DeSantis,"August 10, 2021",false,1
116,Ciara O'Rourke,CNN had “Jeffrey Toobin on analyzing the Andrew Cuomo sexual harassment allegations as their legal expert.”,Viral image,"August 10, 2021",false,1
117,D.L. Davis,“We are not having replacement birth rates. We have had more people leaving the state than coming in over the last 30 years.”,Kurt Bauer,"August 10, 2021",half-true,0
118,Ciara O'Rourke,A slain Chicago police officer left behind a two-month-old baby.,Facebook posts,"August 10, 2021",false,1
119,Tom Kertscher,Suggests a suspicious link between the COVID-19 delta variant and company named Delta that works in 5G.,Viral image,"August 10, 2021",false,1
120,Tom Kertscher,Ivermectin is an effective treatment for COVID-19.,Viral image,"August 10, 2021",barely-true,1
121,Warren Fiske,“We actually have this critical race theory moved into all our schools in Virginia.”,Glenn Youngkin,"August 10, 2021",false,1
122,Ciara O'Rourke,“Pfizer CEO’s Israel visit canceled because he is not fully vaccinated.”,Viral image,"August 9, 2021",barely-true,1
123,Tom Kertscher,"""I will need to show proof to do anything indoors in” New York City, “but not when I vote?""",Viral image,"August 9, 2021",half-true,0
124,Tom Kertscher,"“The Vaccine Adverse Event Recording System shows that 5,946 people have died because of the” COVID-19 vaccine.",TikTok posts,"August 9, 2021",false,1
125,Tom Kertscher,"Unvaccinated people “are making the vaccinated people sick and die, but the unvaccinated people are not dead or sick.”",Viral image,"August 9, 2021",false,1
126,Tom Kertscher,"Says there are fewer than 2,000 confirmed COVID-19 hospitalizations in the U.S.",Viral image,"August 9, 2021",false,1
127,Monique Curet,“Pfizer vaccine now completely worthless in Israel as >80% of all COVID-19 patients were previously vaccinated.”,Facebook posts,"August 9, 2021",false,1
128,Ciara O'Rourke,“Due to the new ‘delta variant’ California will be mailing in ballots for recall election.”,Viral image,"August 6, 2021",false,1
129,Jason Asenso,The survival rate for COVID-19 is over 99% for most age groups.,Instagram posts,"August 6, 2021",false,1
130,Tom Kertscher,"Sweden had few COVID deaths in July, despite low vaccination rates, relaxed lockdown rules and low mask compliance.",Steve Deace,"August 6, 2021",half-true,0
131,Ciara O'Rourke,The “delta” in “delta variant” means “deep sleep.”,Viral image,"August 6, 2021",false,1
132,Sabine Martin,"“By 2040, 70% of the population is expected to live in just 15 states.”",J.D. Scholten,"August 6, 2021",mostly-true,0
133,Louis Jacobson,Says Joe Biden has driven the current coronavirus surge because he “imported more virus from around the world by having a wide open southern border.”,Ron DeSantis,"August 6, 2021",false,1
134,Ciara O'Rourke,Photo shows Laurel Hubbard “winning the women's weight lifting competition” at the Olympics.,Viral image,"August 6, 2021",false,1
135,Paul Specht,“More people have died of an opioid overdose in North Carolina in recent years than have died of COVID.”,Josh Stein,"August 6, 2021",barely-true,1
136,Brandon Mulder,A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud “is the greatest source of voter fraud in this state.”,Chip Roy,"August 6, 2021",true,0
137,Laura Schulte,"Says spending by Democrats is driving major jumps in car rentals, gas prices and hotel prices this summer",Tom Tiffany,"August 6, 2021",barely-true,1
138,Bill McCarthy,"""If your employer is mandating any pokes, do not quit. Make them fire you. That way you get unemployment benefits.""",Facebook posts,"August 5, 2021",false,1
139,Kelsey Sena,"Quotes Abraham Lincoln as saying, “You cannot help the poor by destroying the rich.”",Facebook posts,"• August 5,",false,1
140,Amy Sherman,"Two federal government buses “stopped in front of a Mexican restaurant in the very small town of Green Cove Springs Florida… The passengers were illegal immigrants, straight from the southern border.”",Facebook posts,"August 5, 2021",false,1
141,Warren Fiske,“Wearing masks has not been demonstrated to make a significant impact in preventing the spread of COVID.”,Bob Good,"August 5, 2021",false,1
142,Kiannah Sepeda-Miller,House Speaker Nancy Pelosi’s “office was calling the shots on all of their (Capitol security officials’) actions on Jan. 6.”,Rodney Davis,"August 5, 2021",barely-true,1
143,Monique Curet,"“CDC confesses: Vaccines are failing, and the vaxxed can be superspreaders.”",Instagram posts,"August 4, 2021",false,1
144,Tom Kertscher,It’s safer to be unvaccinated than vaccinated against COVID-19.,Viral image,"August 4, 2021",false,1
145,Michael Majchrowicz,Ivermectin caused a substantial decrease in the excess mortality rate in Mexico.,Facebook posts,"August 4, 2021",false,1
146,Jon Greenberg,Says Joe Biden and Democrats “have done absolutely nothing to help families struggling to keep up with inflation.”,Rick Scott,"August 4, 2021",false,1
147,Andy Nguyen,“Fauci just told us they found a (coronavirus) variant that ‘evades the test.’”,Facebook posts,"August 4, 2021",false,1
148,Madeline Heim,Says Gov. Tony Evers has declared Wisconsin “permanently closed” for business.,Rebecca Kleefisch,"August 4, 2021",false,1
149,Tom Kertscher,"“The best way to avoid COVID altogether is to exercise, eat healthy and let your immune system beat it naturally.”",Facebook posts,"August 3, 2021",barely-true,1
150,Amy Sherman,Florida Agriculture Commissioner Nikki Fried “suspended gun rights — no due process — just because she says these people were merely ‘involved’ in January 6.”,Facebook posts,"August 3, 2021",barely-true,1
151,Louis Jacobson,"""The CDC has the power to extend the eviction moratorium.”",Nancy Pelosi,"August 3, 2021",barely-true,1
152,Paul Specht,"Says he worked to pass the 2018 farm bill “that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults, Budd voted NO.”",Mark Walker,"August 3, 2021",half-true,0
153,Warren Fiske,“Under Terry McAuliffe (there was a) record investment in education.”,Terry McAuliffe,"August 2, 2021",barely-true,1
154,Monique Curet,"“Thanks to (Israel's) sacrifice, we now know that natural immunity is far superior with 1% experiencing re-infection while 40% of new cases were previously vx'd.""",Facebook posts,"August 2, 2021",barely-true,1
155,Jason Asenso,"Says Novak Djokovic said of Simone Biles: “Pressure is a privilege, my friend. ...If you are aiming to be at the top of the game you better start learning how to deal with pressure…”",Facebook posts,"August 2, 2021",barely-true,1
156,Tom Kertscher,"""They didn't allow"" Simone Biles ""to take her ADHD medication.""",Facebook posts,"August 2, 2021",false,1
157,Ciara O'Rourke,“Type-2 diabetes gummies nets the biggest deal in ‘Shark Tank’ history!”,Bloggers,"August 2, 2021",false,1
158,Ciara O'Rourke,Photos show Lloyd Austin without a face shield after he landed in the Philippines.,Marco Rubio,"August 2, 2021",barely-true,1
159,Gabrielle Settles,Says the white man who wanted Rosa Parks’ seat on the bus was suffering from ADHD and anxiety.,Facebook posts,"August 2, 2021",false,1
160,Warren Fiske,"When Terry McAuliffe was governor, “Unemployment went down in every single county, including rural Virginia by nearly 50%.",Joe Biden,"July 30, 2021",mostly-true,0
161,Kiannah Sepeda-Miller,“You can't actually use ARPA (American Rescue Plan Act) funds” to pay down state unemployment insurance fund deficits.,JB Pritzker,"July 30, 2021",false,1
162,Amy Sherman,Mail-in voting requires no signature verification.,Facebook posts,"July 30, 2021",false,1
163,Tom Kertscher,“A known antifa member” dressed as a Donald Trump supporter “and caused the Capitol riot” on Jan. 6.,Viral image,"July 30, 2021",barely-true,1
164,Victoria Knight,"CDC ""will revoke the emergency use authorization"" of the PCR COVID tests because those tests don't differentiate between COVID and flu viruses. ""Translation: They've been adding flu cases to Covid cases when using that test.”",Facebook posts,"July 30, 2021",false,1
165,Ciara O'Rourke,“More than 40 military tribunals testified.”,Facebook posts,"July 30, 2021",false,1
166,Jason Asenso,“60% of patients admitted to the hospital in the UK have been fully vaccinated”,Facebook posts,"July 30, 2021",false,1
167,Bill McCarthy,Says D.C. police officer Michael Fanone is the same person who was arrested after carrying a Confederate flag through the U.S. Capitol on Jan. 6.,Instagram posts,"July 30, 2021",pants-fire,1
168,Madison Czopek,The opening ceremony of the 2012 London Olympics predicted the COVID-19 pandemic.,Facebook posts,"July 30, 2021",pants-fire,1
169,Ciara O'Rourke,“George Washington mandated smallpox vaccines for the Continental Army.”,Viral image,"July 30, 2021",mostly-true,0
170,Ciara O'Rourke,“U.S. military holding White House for Trump’s return.”,Facebook posts,"July 30, 2021",pants-fire,1
171,Tom Kertscher,"General Motors “admits the 'clean' energy used to charge electric cars comes from coal, 95% coal, to be exact.""",Facebook posts,"July 29, 2021",false,1
172,Kelsey Sena,Photo shows the place where “the Atlantic Ocean and the Pacific Ocean face each other without mixing.”,Viral image,"• July 29,",false,1
173,Ciara O'Rourke,"Photo shows Donald Trump supporters protesting Joe Biden’s visit to Allentown, Pa.",Viral image,"July 29, 2021",false,1
174,Jon Greenberg,"“Thanks to the insane tax-and-spending spree of President Joe Biden and Democrats in Washington, we are seeing six straight months of raging inflation.”",Rick Scott,"July 29, 2021",barely-true,1
175,Ciara O'Rourke,"Says Emmanuel Macron said, “I no longer have any intention of sacrificing my life, my time, my freedom and the adolescence of my daughters, as well as their right to study properly, for those who refuse to be vaccinated.”",Viral image,"July 29, 2021",false,1
176,Emily Tian,“Alert: Law enforcement and the Red Cross have advised that there are people going door to door indicating that they are authorized to do testing for Coronavirus.”,Facebook posts,"July 29, 2021",barely-true,1
177,Ciara O'Rourke,"Says Marjorie Taylor Greene said, “Jesus loves the U.S. most and that is why the Bible is written in English.”",Facebook posts,"July 29, 2021",false,1
178,Andy Nguyen,Ethylene oxide used in COVID-19 testing swabs “literally changes the structure of the building blocks of your own body.”,Facebook posts,"July 29, 2021",false,1
179,Tom Kertscher,"Says Joe Biden “is restricting travel for Americans into Mexico, but is keeping the border wide open for illegal aliens to walk right into our country.”",Tweets,"July 28, 2021",barely-true,1
180,Tom Kertscher,"“CDC quietly deletes 6,000 COVID vaccine deaths from its CDC website total in one day.”",Facebook posts,"July 28, 2021",barely-true,1
181,Tom Kertscher,People charged in the Jan. 6 assault on the U.S. Capitol are “political prisoners” and “non-violent trespassers” who have been held in solitary confinement for the past six months.,Instagram posts,"July 28, 2021",barely-true,1
182,Gabrielle Settles,"Says George Floyd’s criminal history includes “23 arrests,” “3 car thefts” and many violent crimes.",Facebook posts,"July 28, 2021",false,1
183,Jason Asenso,"""Kansas City Chiefs QB Patrick Mahomes has left training camp and says he will ‘not play another down in the NFL’ until the team changes their name.”",Facebook posts,"July 28, 2021",pants-fire,1
184,Tom Kertscher,“Don’t believe the hype that Florida” COVID-19 “numbers are up. It’s a blatant lie.”,Erin Marie Olszewski,"July 27, 2021",pants-fire,1
185,Bill McCarthy,There are “22 million illegal aliens living in America and ... voting illegally.”,Facebook posts,"July 27, 2021",false,1
186,Monique Curet,Video montage shows Kamala Harris and others faking vaccination.,Facebook posts,"July 27, 2021",false,1
187,Kelsey Sena,“Drivers with no DUIs are getting up to $610 back in savings.”,Facebook posts,"• July 27,",false,1
188,Jason Asenso,“It makes no sense to require vaccinations for the previously infected.”,Facebook posts,"July 27, 2021",false,1
189,Ciara O'Rourke,Says an NBC producer at the Olympics was caught on a hot mic saying “60% of people in this stadium will be dead within 10 days.”,Viral image,"July 27, 2021",false,1
190,Madison Czopek,A photograph shows members of the U.S. women’s soccer team kneeling during the national anthem at the Tokyo Olympics.,Facebook posts,"July 26, 2021",false,1
191,Tom Kertscher,"""People are being diagnosed with delta variant"" even though ""there is no delta variant test.""",Facebook posts,"July 26, 2021",barely-true,1
192,Ciara O'Rourke,"“Child support card” in Delaware ""controls what mothers can and cannot buy with child support money.”",Viral image,"July 26, 2021",false,1
193,Bill McCarthy,The government is “monitoring SMS texts for dangerous misinformation about COVID vaccines.”,Joe Rogan,"July 26, 2021",barely-true,1
